Verbo,Regolare,Significato,Präteritum,Participio passato,Perfetto,Caso,Riflessivo
löschen,sì,cancellare,löschte,gelöscht,hat gelöscht,Akkusativ,no
streichen,no,cancellare,strich,gestrichen,hat gestrichen,Akkusativ,no
tilgen,sì,cancellare,tilgte,getilgt,hat getilgt,Akkusativ,no
vernichten,sì,distruggere,vernichtete,vernichtet,hat vernichtet,Akkusativ,no
zerstören,sì,distruggere,zerstörte,zerstört,hat zerstört,Akkusativ,no
ruinieren,sì,rovinare,ruinierte,ruiniert,hat ruiniert,Akkusativ,no
beschädigen,sì,danneggiare,beschädigte,beschädigt,hat beschädigt,Akkusativ,no
verletzen,sì,ferire,verletzte,verletzt,hat verletzt,Akkusativ,no
verwunden,sì,ferire,verwundete,verwundet,hat verwundet,Akkusativ,no
schaden,sì,danneggiare,schadete,geschadet,hat geschadet,Dativ,no
nützen,sì,essere utile,nützte,genützt,hat genützt,Dativ,no
nutzen,sì,usare,nutzte,genutzt,hat genutzt,Akkusativ,no
helfen,no,aiutare,half,geholfen,hat geholfen,Dativ,no
unterstützen,sì,sostenere,unterstützte,unterstützt,hat unterstützt,Akkusativ,no
beistehen,no,assistere,stand bei,beigestanden,hat beigestanden,Dativ,no
assistieren,sì,assistere,assistierte,assistiert,hat assistiert,Dativ,no
dienen,sì,servire,diente,gedient,hat gedient,Dativ,no
begünstigen,sì,favorire,begünstigte,begünstigt,hat begünstigt,Akkusativ,no
bevorzugen,sì,preferire,bevorzugte,bevorzugt,hat bevorzugt,Akkusativ,no
vorziehen,no,preferire,zog vor,vorgezogen,hat vorgezogen,Akkusativ,no
wählen,sì,scegliere,wählte,gewählt,hat gewählt,Akkusativ,no
auswählen,sì,selezionare,wählte aus,ausgewählt,hat ausgewählt,Akkusativ,no
aussuchen,sì,scegliere,suchte aus,ausgesucht,hat ausgesucht,Akkusativ,no
entscheiden,no,decidere,entschied,entschieden,hat entschieden,Akkusativ,sì (sich entscheiden)
bestimmen,sì,decidere,bestimmte,bestimmt,hat bestimmt,Akkusativ,no
festlegen,sì,stabilire,legte fest,festgelegt,hat festgelegt,Akkusativ,no
festsetzen,sì,fissare,setzte fest,festgesetzt,hat festgesetzt,Akkusativ,no
vereinbaren,sì,concordare,vereinbarte,vereinbart,hat vereinbart,Akkusativ,no
verabreden,sì,fissare un appuntamento,verabredete,verabredet,hat verabredet,Akkusativ,sì (sich verabreden)
absprechen,no,concordare,sprach ab,abgesprochen,hat abgesprochen,Akkusativ,no
koordinieren,sì,coordinare,koordinierte,koordiniert,hat koordiniert,Akkusativ,no
abstimmen,sì,coordinare,stimmte ab,abgestimmt,hat abgestimmt,Akkusativ,no
anpassen,sì,adattare,passte an,angepasst,hat angepasst,Akkusativ,sì (sich anpassen)
adaptieren,sì,adattare,adaptierte,adaptiert,hat adaptiert,Akkusativ,no
modifizieren,sì,modificare,modifizierte,modifiziert,hat modifiziert,Akkusativ,no
verändern,sì,modificare,veränderte,verändert,hat verändert,Akkusativ,sì (sich verändern)
umwandeln,sì,trasformare,wandelte um,umgewandelt,hat umgewandelt,Akkusativ,no
verwandeln,sì,trasformare,verwandelte,verwandelt,hat verwandelt,Akkusativ,sì (sich verwandeln)
umformen,sì,trasformare,formte um,umgeformt,hat umgeformt,Akkusativ,no
gestalten,sì,configurare,gestaltete,gestaltet,hat gestaltet,Akkusativ,no
formen,sì,formare,formte,geformt,hat geformt,Akkusativ,no
prägen,sì,coniare/caratterizzare,prägte,geprägt,hat geprägt,Akkusativ,no
beeinflussen,sì,influenzare,beeinflusste,beeinflusst,hat beeinflusst,Akkusativ,no
wirken,sì,agire/avere effetto,wirkte,gewirkt,hat gewirkt,-,no
auswirken,sì,avere effetto,wirkte aus,ausgewirkt,hat ausgewirkt,-,sì (sich auswirken)
einwirken,sì,agire su,wirkte ein,eingewirkt,hat eingewirkt,Akkusativ,no
betreffen,no,riguardare,betraf,betroffen,hat betroffen,Akkusativ,no
angehen,no,riguardare,ging an,angegangen,hat angegangen,Akkusativ,no
berühren,sì,toccare,berührte,berührt,hat berührt,Akkusativ,no
betasten,sì,palpare,betastete,betastet,hat betastet,Akkusativ,no
anfassen,sì,toccare,fasste an,angefasst,hat angefasst,Akkusativ,no
greifen,no,afferrare,griff,gegriffen,hat gegriffen,Akkusativ,no
ergreifen,no,afferrare,ergriff,ergriffen,hat ergriffen,Akkusativ,no
packen,sì,afferrare,packte,gepackt,hat gepackt,Akkusativ,no
fassen,sì,afferrare,fasste,gefasst,hat gefasst,Akkusativ,no
festhalten,no,tenere fermo,hielt fest,festgehalten,hat festgehalten,Akkusativ,no
halten,no,tenere,hielt,gehalten,hat gehalten,Akkusativ,no
tragen,no,portare,trug,getragen,hat getragen,Akkusativ,no
schleppen,sì,trascinare,schleppte,geschleppt,hat geschleppt,Akkusativ,no
ziehen,no,tirare,zog,gezogen,hat gezogen,Akkusativ,no
zerren,sì,tirare con forza,zerrte,gezerrt,hat gezerrt,Akkusativ,no
drücken,sì,premere,drückte,gedrückt,hat gedrückt,Akkusativ,no
pressen,sì,premere,presste,gepresst,hat gepresst,Akkusativ,no
schieben,no,spingere,schob,geschoben,hat geschoben,Akkusativ,no
stoßen,no,spingere,stieß,gestoßen,hat gestoßen,Akkusativ,no
werfen,no,lanciare,warf,geworfen,hat geworfen,Akkusativ,no
schleudern,sì,lanciare,schleuderte,geschleudert,hat geschleudert,Akkusativ,no
schießen,no,sparare,schoss,geschossen,hat geschossen,Akkusativ,no
treffen,no,colpire,traf,getroffen,hat getroffen,Akkusativ,no
schlagen,no,colpire,schlug,geschlagen,hat geschlagen,Akkusativ,no
hauen,no,picchiare,hieb/haute,gehauen,hat gehauen,Akkusativ,no
prügeln,sì,picchiare,prügelte,geprügelt,hat geprügelt,Akkusativ,no
boxen,sì,fare a pugni,boxte,geboxt,hat geboxt,-,no
kämpfen,sì,combattere,kämpfte,gekämpft,hat gekämpft,-,no
fechten,no,fare scherma,focht,gefochten,hat gefochten,-,no
ringen,no,lottare,rang,gerungen,hat gerungen,-,no
schwimmen,no,nuotare,schwamm,geschwommen,ist geschwommen,-,no
tauchen,sì,immergersi,tauchte,getaucht,hat/ist getaucht,-,no
segeln,sì,navigare a vela,segelte,gesegelt,ist gesegelt,-,no
rudern,sì,remare,ruderte,gerudert,ist gerudert,-,no
paddeln,sì,pagaiare,paddelte,gepaddelt,ist gepaddelt,-,no
klettern,sì,arrampicarsi,kletterte,geklettert,ist geklettert,-,no
steigen,no,salire,stieg,gestiegen,ist gestiegen,-,no
springen,no,saltare,sprang,gesprungen,ist gesprungen,-,no
hüpfen,sì,saltellare,hüpfte,gehüpft,ist gehüpft,-,no
tanzen,sì,ballare,tanzte,getanzt,hat getanzt,-,no
singen,no,cantare,sang,gesungen,hat gesungen,Akkusativ,no
pfeifen,no,fischiare,pfiff,gepfiffen,hat gepfiffen,Akkusativ,no
summen,sì,canticchiare,summte,gesummt,hat gesummt,Akkusativ,no
brummen,sì,ronzare,brummte,gebrummt,hat gebrummt,-,no
rauschen,sì,scrosciare,rauschte,gerauscht,hat gerauscht,-,no
klingen,no,suonare,klang,geklungen,hat geklungen,-,no
tönen,sì,risuonare,tönte,getönt,hat getönt,-,no
läuten,sì,suonare (campana),läutete,geläutet,hat geläutet,-,no
klingeln,sì,suonare (campanello),klingelte,geklingelt,hat geklingelt,-,no
läuten,sì,squillare,läutete,geläutet,hat geläutet,-,no
ticken,sì,ticchettare,tickte,getickt,hat getickt,-,no
schnarchen,sì,russare,schnarchte,geschnarcht,hat geschnarcht,-,no
gähnen,sì,sbadigliare,gähnte,gegähnt,hat gegähnt,-,no
seufzen,sì,sospirare,seufzte,geseufzt,hat geseufzt,-,no
stöhnen,sì,gemere,stöhnte,gestöhnt,hat gestöhnt,-,no
ächzen,sì,gemere,ächzte,geächzt,hat geächzt,-,no
